inputs,outputs
can you find me the fastest route to a parking garage? dish parking  is Dish_Parking_distance away. is there nothing else in the area?,"no, that is it."
where can i get chinese food? we're P.F._Changs_distance away from p.f. changs: would you like me to highlight its position on your map? is there any other places within 4 miles? p.f. changs is the only listing i have. what is the address? the address is P.F._Changs_address pick the route with the shortest distance please and let's go there!,"plotting shortest distance to 669 el camino real, P.F._Changs_distance away with moderate traffic"
will it be misty in compton the next seven days? it will not be misty in compton next week. thank you.,"have a great day, you're welcome."
"quickly find me the closest chinese restaurant to my location. i have two chinese restaurants listed; p.f. changs is 3 miles away with a car collision nearby on the route and jing jing a mile away with a Jing_Jing_traffic_info. which one do you prefer? let's try jing jing.  jing jing is located at Jing_Jing_address. do you need me to set the gps? yes, and please pick the shortest distance as well, car! all the directions are on your screen, drive carefully! thank you car!",you're welcome
what is the forecast in my city,in which city are you now?
"what time is my football activity and who is attending? i have two driver, one for 6pm with football_activity_party, and one for 1pm with brother.  perfect.",no problem.
locate my friends address for me.,jill or tom?
"show me the direction to the closest mall we are Stanford_Shopping_Center_distance away from stanford shopping center: send you the address on screen? yes, please, if it's the best location send me the quickest route on screen",showing you the route to stanford shopping center.
what time is my meeting and at what location?,your meeting is scheduled on meeting_date at 11am.
"give me the closest fast food restaurant i do not see any fast food near you. look for some pizza restaurant nearest to my position and send me the quickest route to reach, thanks!",the only pizza place listed is dominos and it's Dominos_distance away at 776 arastradero road.
"is there any dew in the forecast over the next few days in durham? there will be dew in durham on durham_saturday great, thanks so much for the help.",you're welcome
"can you please take me to a coffee house you best bet for coffee is Coupa_distance away at coupa located at 394 van ness ave.  what is the traffic like, and can you send me directions? there is Coupa_traffic_info on the way to coupa at 394 van ness ave. anything else? that's is, please set the gps to go there, thank you! setting route. thanks,",you're welcome.
in which day do i have doctor's appointment doctor's appointment is on monday at 7pm thanks,you are most welcome
"i need to schedule yoga with martha.  what time shall i set the reminder for yoga with martha? set it for 9 am on the tenth please.  okay, setting a reminder for your yoga activity with martha at 9 am on the 10th. thanks a bunch. you are welcome i want to double check. when is my yoga appointment with martha?",it is at 9 am on the 10th.
"tomorrow's forecast what city can i tell you tomorrows forecast for? i need the forecast in alhambra for tomorrow please.  tomorrow it will be overcast in alhambra, with low of 30f, and high of 40f thank you car!",you're welcome!
what's the weather going to be like today and tomorrow,what city do you want the weather for?
can you tell me if carson is going to be cloudy this weekend? the forecast calls for mist on carson_saturday in carson.  thank you.,you are welcome.
car is it going to snow today what city do you want the forecast for? chicago.,it is not snowing in chicago today.
schedule a doctor appointment.,what day and time should i set the appointment?
"take me to the nearest starbucks i am unable to locate starbucks. however there are two coffee or tea place nearby, cafe venetia and philz what is the address of philz?",philz is at 583 alester ave.
schedule a doctors appointment on the 12th,"okay i have scheduled you an appointment reminder on the 12th at 10 am, is this okay?"
is it going to snow any this week what city s=would you like to know if it is snowing this week in? i would like to know about chicago please.,it is supposed to snow on monday and wednesday this week in chicago.
where is a nearby parking garage? stanford oval parking and webster garage are both close. which is the closest of the two?,webster garage is closer.
take me to a fast food restaurant we are Pizza_My_Heart_distance away from pizza my heart and 4 miles away from pizza chicago: which one do you prefer? let's go to the one near me and on the quickest route going to pizza my heart. thanks can you show me the address please?,"i sent the address on your screen, Pizza_My_Heart_address, you're welcome!"
"what parties are on the calendar, what time are they, and where are they being held? there are no parties scheduled what time is my meeting, where is it and who will be there.",you have two meetings scheduled on the calendar. the first meeting is on meeting_date at 11am with the vice president in conference room 100.  the second meeting is at 4pm with management in conference room 50.
will it be hot in brentwood on brentwood_wednesday?,"no, on brentwood_wednesday it will be foggy in brentwood"
"how far away from home am i, i need to the route with the shortest distance and the address you're home_distance away from home whose address is 5671 barringer street. since there is no traffic on our way i already picked the shortest route and i sent it on your screen thank you very much car!",no problem
what is the date and time of my dentist appointment?,"for which one? i have three, one with your brother at 3 pm on the 19th. one with your sister at 10 am on dentist_appointment_date and one with your father at 5 pm on the 9th."
car i wanna go to a shopping center: is there anything within 3 miles? the ravenswood shopping center is 1 mile away. what is the address?,"Ravenswood_Shopping_Center_address, i sent the position on your screen"
is it misty in san francisco now?,"no, in san francisco the weather is overcast now"
schedule an appointment with the optometrist on the 12th appointment has been recorded for the 12th but you didn't ask for the time?,what time should i set the appointment?
"are there shopping centers nearby? they are one shopping center Midtown_Shopping_Center_distance away called midtown shopping center.  how is the traffic? midtown shopping center has Midtown_Shopping_Center_traffic_info. what is the address? the address is Midtown_Shopping_Center_address, i sent its position on your map thanks for all the help.",no problem!
is it going to be humid in danville on danville_saturday? it will not be humid in danville on danville_saturday.  thank you.,anytime
when is my lab appointment would you like to know when your lab appointment is with your sister or with lab_appointment_party ?  i want the date and time of each lab appointment.,your lab appointment is at 10 am on lab_appointment_date
"what is the location, date, and agenda of my meeting? you have two meetings, one on meeting_date and one on the 7th. which one do you want more information about? the one on meeting_date.",the meeting on meeting_date is at conference room 102 to discuss the quarterly report.
"what is the weather like right now what city do you want the weather for? exeter, please. is it humid? today is frost in exeter, with low temperature of 50f, and high of 60f thanks so much.",you're welcome.
"schedule a yoga activity with jon on wednesday at 1pm. okay, i am scheduling a yoga activity with jon for wednesday at 1pm. thank you so much.",it is my pleasure.
find me the quickest route to the gas station.,there is a chevron Chevron_distance away.
what time is my doctors appointment and who is attending?,you have two doctors appointments scheduled; one with alex at 4 pm on the 20th and one with jon at 7 pm on sunday.
"get me directions to the mall town and country at Town_and_Country_address. would you like the route put on the screen? yes, please, and avoid all heavy traffic if possible! setting navigation to 383 university ave, Town_and_Country_distance away, now.  thank you.",you're welcome!
give me directions to the nearest grocery store,we're Trader_Joes_distance away from trader joes and 2 miles away from whole foods: which one do you prefer?
"take me to the nearest shopping center i've set the route to midtown shopping center, 338 alester ave, it's Midtown_Shopping_Center_distance away thanks.",you're welcome!
"car is there any shopping center nearby? please show me a quick route to reach too! there is town and country Town_and_Country_distance away, and there should be no traffic on our way what is the address?",town and country is at Town_and_Country_address.
will it rain anytime in the next week what city do you want the weather for? will it rain in san mateo next week? it will rain on both saturday and san_mateo_sunday in san mateo. thank you.,no trouble at all.
"need a coffee place within 4 miles with the quickest route. starbucks is Starbucks_distance away. that's good, please pick the fastest route to go there",setting gps for quickest route. do you need any more info?
give me directions to my house home is home_distance away at 5671 barringer street with no traffic noted. great thanks,setting navigation now. you're welcome.
get the address to my friend's house that i could get to the fastest.,tom or jack?
where is a rest stop within 5 miles?,four seasons is Four_Seasons_distance away. want the address?
"what's the forecast for today what city can i give you the forecast from? inglewood, please. is it gonna be windy today? it will not be windy in inglewood today. thanks.",no problem!
is the weather cloudy right now what location do you want the weather for? alameda.,it is not cloudy in alameda right now.
what day is my yoga class,your yoga activity is on yoga_activity_date.
find a chinese joint that is within 3 miles of my location.,"panda express is Panda_Express_distance away, that is the closest."
take me to the nearest shopping center,there is a shopping center 1 mile away. it is called topanga mall
car what is the temperature going to be today and tomorrow,which city would you like today and tomorrow's temperature for?
send me to the nearest gas station chevron located at 783 arcadia pl is the nearest gas station which is Chevron_distance away. thanks let's go there.,"you're welcome, we should be there shortly."
what will the highest temperature in seattle be today?,there will be a high temperature of 50f today in seattle.
"find directions to home i do not have directions for home at this moment. my home is within 3 miles, does this help? do you mean you want to go at tom's house? it's the only private address i have in a 3 miles range. yes please, that will do.","i've marked the address on your gps, 580 van ness ave"
are there chinese restaurants nearby there is a jing jing nearby. what is the address? jing jing is located at Jing_Jing_address. thanks!,anytime!
make a note that at 5 pm on the 12th i have yoga,"okay, making note of your yoga appointment at 5 pm on the 12th."
"take me to my friends house i don't have your friends house in my memory, sorry, do you mean you want to go home? yes please.",navigating you home.
"will it be warm in new york today and tomorrow? today and tomorrow in new york will be warm the lows will be 50f and 60f, the highs will be in the 70s thanks.",anytime.
what time do i need to take my medicine?,you are scheduled to take medicine at 10 am
"navigate to the nearest mall we are Midtown_Shopping_Center_distance away from midtown shopping center: would you like to go there? please send me the address and pick the fastes route to go there, thanks!","midtown shopping center is located at 338 alester avenue, which is Midtown_Shopping_Center_distance away."
when is my conference and where is it,your conference  is conference_date at 6 pm and it will be in conference room 50.
give me directions to the nearest place where i can have a cup of tea,palo alto cafe is 1 mile away at Palo_Alto_Cafe_address
"find me the nearest grocery store the nearest grocery store is Sigona_Farmers_Market_distance away called willows market at 409 bollard st ok, please direct me there via the fastest route.  okay, there is a car collision nearby willows market, thre is another route to sigona farmers market. it is the same amount of miles away, this route has Sigona_Farmers_Market_traffic_info let's go at willow please send the direction on my screen, thank you car!","it's everything on your map, enjoy your trip!"
find me a gas station that i can get to the quickest without any traffic,"the nearest gas station is located at 91 el camino real, but there is a roadblock nearby."
"where can i go shopping? stanford shopping center is Stanford_Shopping_Center_distance away. is that the closest shopping center to my location? yes, stanford shopping center is the closest. what is the address? stanford shopping center is Stanford_Shopping_Center_distance away at 773 alger dr. please note there is a road block reported nearby.  oh okay let's start the route now then please.  i sent the info on your screen, drive carefully! thank you car!",you're welcome!
get me directions to the nearest chinese restaurant,the nearest chinese restaurant is 1 mile away
can you give me directions to the grocery store,there is trader joes Trader_Joes_distance away: sounds good to you?
when is my yoga?,your yoga class will be this tuesday at 4pm with marie.
get the address to the nearest shopping mall.,ravenswood shopping center is at Ravenswood_Shopping_Center_address.
set a calendar reminder to go out to dinner,for what date and time would you like the reminder?
"where can i get chinese food? mandarin roots and chef chu's are both close. which one has the shortest distance? mandarin roots is closer. okay great, can i have the address? sure, the address is 271 springer street, we're Mandarin_Roots_distance away, i sent its position on your map thank you car!",you are welcome.
give me the full weekly weather forecast,what city are you interested in?
"is there a whole foods here? no, just sigona farmers market. what is the address?","638 amherst st, it's Sigona_Farmers_Market_distance away, i sent its location on your screen"
"where can i find a parking garage? we're Dish_Parking_distance away from dish parking and 4 miles away from palo alto garage r: i suggest you the closest option since there is no traffic on our route too okay, thank you, dish parking it is then.",understood. dish parking is located on Dish_Parking_address.
what is the time and date for my yoga activity? you have two yoga activities scheduled; one for yoga_activity_date at 3 pm with martha and one for the 5th at 2 pm with tom.  thanks for the info.,you are welcome
tell me the weather forecast for this week what city do you want the weather for? will it rain anytime this week in san mateo?,no there is no rain in the forecast for san mateo this week.
"where is the house are you talking about your home? yes, please, pick the quickest route to go there!","i sent you the route on screen, drive carefully!"
"schedule a yoga activity with alex on august 14th at 1pm. okay, scheduling a yoga activity with alex for august 14th at 1pm. thank you.",you're welcome.
"search for nearest fast food restaurants there is two restaurants near you; one serves pizza and the other chinese, which do you prefer? the pizza place, give me the quickest one that is nearby. then let's go at round table, 113 anton ct ,it's just Round_Table_distance away but there is heavy traffic, i hope you're not too hungry please give me directions to the pizza place please. thank you.  navigating to Round_Table_address now.  thank you, let's go there!",you're welcome!
"where is the closest place to eat there is a pizza restaurant 3 miles away and a couple chinese restaurants a little farther. what would you like to eat? chinese please.  panda express is Panda_Express_distance away in heavy traffic, and chef chu's is 8 miles away but there is a road block nearby. which of these do you prefer? let's go at panda to avoid all Panda_Express_traffic_info nearby chef chu i sent the directions to reach panda express on your screen, enjoy the trip! okay, but where is panda express? panda express is at Panda_Express_address. setting navigation now. thank you car!",you're welcome!
"i need information about my yoga.  your yoga activity is on yoga_activity_date at 7 pm, martha will be there. thank you",you're welcome
"i want pizza. there is two pizza places local; dominos and pizza my heart. do you have a preference? yes, i'd like the route nearest me with no heavy traffic","let's go to pizza my heart, it is just Pizza_My_Heart_distance away with no traffic noted."
where is the closest shopping center? the nearest shopping center is Ravenswood_Shopping_Center_distance away. what is the address?,ravenswood shopping center is at Ravenswood_Shopping_Center_address.
what will the temperature be for the next week where would you like to hear the temperature from? alhambra,the temperature for alhambra for the week include the highs near 100 and lows in the 40s.
what is the weather next week,for which city would you like to know the weather for next week?
"when, where, and what time is my meeting, and who will be there? your meeting to discuss the merger with hr is on meeting_date at 4 pm. okay and where is the meeting?",it's in meeting_room.
look at today and tomorrow and tell me if there will be drizzle in camarillo it is drizzling today in camarillo. thanks.,anytime.
what's the weather like what city would you like to find out the weather about? i need to know weather information about atherton. what days are you interested in? find out if there will be a blizzard on atherton_tuesday on atherton_tuesday there will be clear skies thank you,you're welcome!
"find me a gas station and the quickest way there the gas station likely to be quickest is the shell at 53 university ave, Shell_distance away. would you like directions there? yes thank you.","i sent on your screen the route to avoid the Shell_traffic_info, be carefull!"
show me the directions to starbucks,"i'm sorry i do not have a listing for starbucks. i have alternate coffee shops available, would you be interested in learning more about them?"
navigate to nearest chinese food place,we are Mandarin_Roots_distance away from mandarin roots and there is tai pan 6 miles away: where would you like to go?
"car i need to go to a grocery store there is a safeway at 452 arcadia place, Safeway_distance away. would you like directions there? yes, please, pick a route to avoid all Safeway_traffic_info i'm afraid the route to safeway currently has Safeway_traffic_info, and it is the only grocery store in the area. proceed? then let's go there car, thank you!","ok, setting navigation now."
schedule a dinner at 5pm of the 12th of current month with my father.,scheduling dinner at 5 pm on the 12th of this month with your father.
where can i get some tea.,i have a place called philz that serves tea. would you like more info?
take me to the nearest chinese restaurant there are jing jing Jing_Jing_distance away and panda express 6 miles away: since there is no traffic on the route to panda express i vote for its chicken with orange and shrimps with nuts. what is the address of jing jing. jing jing is at Jing_Jing_address. set gps for a route with no traffic please.,the only route to jing jing has Jing_Jing_traffic_info. is that okay?
"where is there a shopping center within 5 miles? we're Town_and_Country_distance away from town and country but there is a car collision nearby, we might lose lot of time mmm, no, i wanted some route with no traffic... is it the only option? currently town and country is the only option. well okay i guess it will have to do then where is it located? town and country is at Town_and_Country_address. but be aware there is a car collision being reported nearby.  ok that's fine just set the navigation.  navigation set for town and country. thanks so much.",you are welcome
what is the shortest route to home? here is the shortest route to home_address. sounds great thanks.,no problem!
is it stormy in manhattan now?,it's not stormy in manhattan at the moment but there are reports of drizzle there.
"please give me directions to 5677_springer_street_address 5677_springer_street_address is 1 mile away.  i think that is all, thank you",you're welcome!
what's the weekly forecast what city would you like to know the weekly forecast for? is it going to be dry in san jose this week? it will be dry in san jose on san_jose_tuesday. is san_jose_tuesday the only day it will be dry?,"yes, it will only be dry on san_jose_tuesday in san jose."
find me a local hotel in my area.,hotel keen and the clement hotel	 are near.
is it gonna be hot in danville during the week?,"in danville the forcast is a high of 50f on monday, a high of 60f on tuesday, a high of 40f on wednesday, a high of 80f on thursday, a high of 100f on friday, a high of 50f on saturday and a high of 40f on danville_sunday."
i'm looking for a place to eat can you show me directions to the nearest fast food restaurant,pizza hut is the nearest restaurant. it is located at Pizza_Hut_address
what is the date and time for the yoga activity?,you have two yoga activites scheduled. one on wednesday at 5pm and another on yoga_activity_date at 11am.
remind me about dinner tonight,what time would you like a reminder for dinner tonight?
"give me a quick route to a pizza restaurant within 5 miles of here there is dominos, it's Dominos_distance away and with no traffic on our way where is domino's at?",dominos is located at Dominos_address. setting navigation now.
will it hail in oakland,hail is predicted to fall in oakland on oakland_saturday.
what will the temperature be this weekend in grand rapids?,it looks like it will be 70-80f on saturday and 90-100f on grand_rapids_sunday.
"what is the weather next week what city are you wanting to know the weather for? mountain view please. in mountain view, it will be 30-40f monday, 80-100f tuesday, 90-100f wednesday, 90-100f thursday, 70-80f friday, 90-100f saturday, and 70-80f mountain_view_sunday. will it be hot any of the days? the only day of the week it will be hot is on mountain_view_monday with a high of high of 40f. thanks for the information.",you're welcome.
schedule dinner with my sister please.  for what date and time? please set it for the 15th of this month at 2pm,"great, i have that all set up for you. can i help with anything else?"
remind me about the football game,"sure, when is the game?"
is there any rain in the local forecast,where are you wanting to know if it's going to rain?
"car i need to get at my friends house near my current location, please send me their address on the screen",tom lives at 580 van ness ave.
"take me to a chinese restaurant there is a chef chu's Chef_Chu's_distance away and jing jing 6 miles away, which do you prefer? how's the traffic to them?","there is a car collision before reaching both places, but i might find another route if you tell me which one you prefer"
check weather forecast for seattle today in seattle it will be cold. are you interested as well in other days' weather forecast? what about the next 2 days? the 2 day forecast predicts temperatures in the lows of 50f and highs of 80f thank you,no problem
tell me when is my next meeting and who are invited in the meeting and what are the agenda of the next meeting,you next meeting is on meeting_date at 1pm.  hr will be in attendance to go over the budget.
find me a nearby shopping mall shopping center there is stanford shopping center Stanford_Shopping_Center_distance away: do you want me to send you its address on screen? yes sounds good.,stanford shopping center is located at Stanford_Shopping_Center_address. do you want me to set the gps?
navigate to the nearest hotel,there is comfort inn in Comfort_Inn_distance: do you want me to set the gps to go there?
"set a reminder for a dentist appointment at 5 pm on monday the 1st with my mother. okay, i am scheduling a dentist appointment with your mother for monday the 1st at 5pm. thanks.",you're welcome.
"set a reminder for a lab appointment at 6 pm on sunday, august 8th with sister.","okay, scheduling a lab appointment with your sister for sunday, august 8th at 6pm."
how long to the nearest grocery store the nearest grocery store is safeway give me the address. the address of safeway is Safeway_address. set the gps to the quickest route to safeway.,"i sent the info on your screen and since it's just Safeway_distance away with no traffic on our route, you should be able to reach in a couple minutes"
find me all the nearest hotels,the only rest stop in the area is the four seasons located Four_Seasons_distance away. do you need the address?
"will it be stormy in exeter on exeter_wednesday? no, it's not gonna be stormy in exeter on exeter_wednesday, the weather forecast calls for it to be cloudy thank you.",glad i could help out
where are the pizza places around here? round table is nearby at Round_Table_address.  set the route and avoid all heavy traffic please.,"in this moment there is Round_Table_traffic_info, we should reach it fast, i sent its position on your gps"
"will it be misty in alameda next week? no, it's not gonna be misty in alameda on next week thank you.",you're welcome!
"car i need to get to some rest stop, i'm tired, please find something in the local area",hotel keen is Hotel_Keen_distance away.
"find me all the nearest hotels the westin is located The_Westin_distance away at 329 el camino real, and the clement hotel 5 miles away at 657 ames avenue.  how's the traffic to them? westin has The_Westin_traffic_info and the clement hotel has moderate traffic.  let's go to the westin please.",i sent its position and the route on your screen
when is the football?,the football game is football_activity_date at 9 am.
is snow forecasted this week where are you currently located? will it snow in redwood city? there will be no snow for redwood city this week.  thanks,my pleasure.
"will it be dry in fresno on fresno_sunday? no, on fresno_sunday in fresno there will be a blizzard. okay, thank you",no problem.
check the weather for today,where are you located?
"check the weather for the 7 day forecast what city would you like to hear the 7 day weather forecast for? i need to know if it is going to be raining in the next 7 days, for grand rapids.","it will be raining on monday, saturday, and grand_rapids_sunday in grand rapids this week."
"i'm desiring to eat at some chinese restaurant: please pick the nearest one! chef chu's is the closest chinese. great. how do i get there? chef chu's is located at Chef_Chu's_address.  please pick a route with no traffic and send me its position on the screen i am sorry chef chu's only has Chef_Chu's_traffic_info noted on the route. do you still want to go there? i guess, i am starving and no other options.","i sent its position on your screen, drive carefully!"
add tomorrow night's football game to my calendar for 9 pm,i have added a reminder for tomorrow at 9 pm for a football game.
"check today's weather what city would you like today's weather about? i need the weather for compton, specifically if it will be overcast.",it will not be overcast in compton today.
"where is there a shopping center within 5 miles? we're Town_and_Country_distance away from town and country but there is a car collision nearby, we might lose lot of time mmm, no, i wanted some route with no traffic... is it the only option? currently town and country is the only option. well okay i guess it will have to do then where is it located? town and country is at Town_and_Country_address. but be aware there is a car collision being reported nearby.  ok that's fine just set the navigation.  navigation set for town and country. thanks so much.",you are welcome
is there a philz near? just a teavana or starbucks. which one has the closest and quickest route?,teavana is just Teavana_distance away and it has moderate traffic while starbuck is farther and has more traffic on its way
"where is the closest hospital? palo alto medical foundation is located Palo_Alto_Medical_Foundation_distance away. do you want the address? sounds great, thanks.  the address is Palo_Alto_Medical_Foundation_address, do you want directions? yes, please, send the quickest route on my screen! there is Palo_Alto_Medical_Foundation_traffic_info in this moment, i sent the directions on your screen thank you very much car!",you are welcome!
car is there any shopping center nearby? please show me a quick route to reach too!,"there is town and country Town_and_Country_distance away, and there should be no traffic on our way"
"hello car, can you schedule a conference for 4pm, this month on the 11th with hr? i am scheduling a conference this month on the 11th at 4pm with hr. is that correct? yes, thank you! okay, perfect. i've got it all set up. anything else i can help with? no, that's all, thanks.",no problem
search for nearby cafe there is cafe venetia Cafe_Venetia_distance away and a couple of other farther options which is the best one with the quickest route?,the would be cafe venetia.
get me directions to the closest starbucks,navigating you to starbucks.
show me directions to the nearest mall,the nearest mall is town and country.
"where is there a coffee or tea place around. find me one that will get me there the quickest with the least traffic teavana would be the closest one. wold you like directions to this location yes please tell me the route, traffic, and where it is. there is Teavana_traffic_info to teavana at 145 amherst st. ok, map a route to teavana and let's go gps set to teavana.  thank you for the help.","you're welcome, have a safe trip."
will it be cloudy this week what city are you in? san mateo. it's not gonna be cloudy this week in san mateo but it might rain on wednesday and it could fall hail on san_mateo_saturday oh ok thanks.,"you're welcome, glad i could help."
what's the forecast for today,what city do you want the weather for?
what are some nearby hotels,i have one hotel listed Hotel_Keen_distance away. what info would you like on it?
over the next few days in camarillo will there be any rain? it shouldn't be raining in camarillo for the whole week thank you very much car!,glad i could help out
what is the weather today in tomorrow,what city do you want the forecast for?
what's the weather forecast going to be for each day this upcoming week is it going to snow,what city are you wanting to know the forecast for?
what is the chance of rain next week,of which city do you want to know the chance of rain?
"what's the weather going to be like today and tomorrow what location do you want the weather for? in alameda, for today and tomorrow if there will be frost. no, there shouldn't be any frost in alameda tomorrow. that covers it. thank you.","no problem, it's my pleasure to assist you!"
"where can i buy groceries? there is one local grocery store called whole foods but a car collision is noted nearby.  oh no, is there any other options?",that is the only one.
where does my friend live? jill's house is 2 miles away at 347 alta mesa ave: would you like me to set the navigation to go there? yes and please take me the fastest way?,"there i moderate traffic, but it is only 2 miles away. we should arrive quickly."
is it raining in fresno now? it is not raining in fresno right now okay thank you,glad i could help out
i want pizza. i have an address for a pizza spot located Pizza_My_Heart_distance away. would you like more info? yes please find the quickest route.  pizza my heart is the only pizza place i can find. it is Pizza_My_Heart_distance away through heavy traffic. please give me the address and load directions. thank you.  pizza my heart is at Pizza_My_Heart_address. gps is set.  thank you car!,"you're welcome, have a great day."
will it be cloudy this week what city are you interested in? durham,it will be cloudy on durham_thursday in durham this week.
"find me the quickest route to the gas station.  there is a chevron Chevron_distance away. is chevron the closest? if so send me the address. chevron is the closest at Chevron_address. then pick a quick route and let's go there, thank you! taking you to chevron. great, thanks again",you are welcome
find me directions to the nearest hotel,the nearest hotel is the westin.
"where can i get some tea? i have a location that serves tea and is Starbucks_distance away. would you like more info on it? please send me its address on screen and pick a route to avoid all heavy traffic, thank you! we're going at starbucks, since there is Starbucks_traffic_info we should reach in 3 to 4 minutes. drive carefully! thanks for your help.",you're welcome!
what time is my next workout?,your next workout is a football activity on football_activity_date at 1pm
"what is the date and time for my yoga activity? you have four yoga activities scheduled. one is on monday at 9am, another is on thursday at 7pm, another is on yoga_activity_date at 11am, and the last is on the 16th at 2pm. thanks.",glad i can help.
"schedule an optometrist appointment next friday at 4 pm with tom okay, i am scheduling a optometrist appointment with tom for next friday at 4pm. thanks",have a good day.
"find the quickest way to my friends house around here jacks house is 1 mile away at 864 almanor ln, but there is a jacks_house_traffic_info.  ok, please give me directions via the quickest route.  setting navigation now.  thank you car!",you're welcome; drive carefully.
will the weather be warm tomorrow in los angeles?,in los angeles on los_angeles_tuesday the day will be warm with a high of 70f.
"what's the temperature what city do you want the weather for? tell me, what is the temperature in grand rapids right now.",the temperature in grand rapids shows a low of 70f and a high of 80f.
i'd like to set a reminder for my meeting at 2pm later this month please. what day of the month would that be on? it's on the 11th with management to discuss the company picnic.,setting a reminder for your meeting with management at 2 pm on the 11th to discuss the company picnic.
set a reminder for a meeting with my boss on the 12th of this month at 10am to discuss the budget.,okay i have set a reminder for your meeting with your boss at 10am on the 12th of the month to discuss the budget.
what is the weather forecast for new_york_wednesday through tuesday of next week,what city would you like to hear the weather information for new_york_wednesday through tuesday of next week?
i want tea.,i have a location for a place that serves tea that is Palo_Alto_Cafe_distance away. you need more info?
when is my tennis scheduled for?,your tennis is monday at 3 pm with your father.
is it cloudy in the next 7 days,where are you located?
how is the weather in the city this weekend,what city would you like the weekend weather for?
how is the weather this week,what city do you want the weather for?
where can i eat pizza?,pizza my heart serves pizza and is Pizza_My_Heart_distance away.
how hot is it going to be this week in which location do you want to know if it's going to be hot? los angeles.,it will not be hot in los angeles this week.
"navigate to the nearest mall the nearest mall is located at 773 alger drive, about 5 miles away. pick a quick route to get there please setting the quickest route now. ok, thank you.",you are welcome driver!
locate my friend's current address for me. i have an address for jill's house. is that the destination you are looking for? yes,jill's house is located at 347 alta mesa avenue.
where does my friend live?,i have a listings for toms house. is that the friend you speak of?
"set an alarm for my doctor's appointment okay setting an alarm for a doctor's appointment. what time & date? i want to set it up for friday, 1 pm.",your alarm for friday 1pm has been set.
schedule a football activity with my aunt on the 5th at 4pm.,"ok, football activity at 4pm on the 5th with you aunt has been added to the schedule."
is it going to rain today which location are you asking about? oakland,"no, no rain, today it's gonna snow in oakland"
"please, set a reminder for a meeting at 1pm with hr to sign the nda! i will set a reminder for a meeting at 1pm with hr to sign the nda. thanks!",anytime!
remind me about my son's football practice at 2 tomorrow,i will remind you of your son's football practice tomorrow at 2.
will it be stormy in exeter in the next 7 days? in exeter it will be stormy on exeter_wednesday thanks.,you're welcome.
where is the local pizza shop at?,the nearest is dominos at Dominos_address. would you like directions there?
can you find me the nearest pizza restaurant?,dominos is 1 mile away at Dominos_address. would you like directions there?
"tell me what the weather will be like tomorrow what location do you want the weather for? oakland, please. tomorrow in oakland it will be raining, with a low of 60f and a high of 80f. awesome, thank you",you are welcome
will it be windy in cleveland cleveland_thursday?,it will not be windy in cleveland this cleveland_thursday.
please give me the address and directions by a route with no traffic to a pizza restaurant near me.  the nearest pizza place is dominos at Dominos_address but a road block is being reported.  ugh okay well find me the quickest route please.,the route to dominos Dominos_distance away is the quickest one that i can find
"can you give me directions to the nearest hotel the nearest one is comfort inn Comfort_Inn_distance away. there is also a road block nearby ok, please give me the address and directions via a quick route.  setting navigation to the comfort inn at Comfort_Inn_address now.  thank you car!","you're welcome; drive safely, and sleep well."
what is the weather forecast for the upcoming week,what location are you asking about?
is there a parking garage near? dish parking is Dish_Parking_distance away. what is the address?,dish parking is located at Dish_Parking_address
"what is the forecast in my city what city are you in? what is the forecast for today and tomorrow in durham? the forecast for today in durham will be cloudy, with a low of 20f and a high of 40f. tomorrow's forecast will be dry, with a low of 60f and a high of 80f. thank you",you are most welcome.
find out what time my eye doctor appointment is,your optometrist appointment is scheduled for 3pm on optometrist_appointment_date.
how is the weather this week in inglewood?,what days are you interested in?
add tennis on wednesday at 5 to my calendar,is that 5 pm on wednesday?
tell me if there will be frost in cleveland the next 7 days?,cleveland's weather forecast does not predict any frost over the next 7 days
what is the weather forecast in the city which city are you asking about? i'm going to corona what day are you wanting the forecast for corona? i need the forecast for the whole week if possible. corona is going to be fairly cold at the beginning of the week with a blizzard in the forecast and rain. the end of the week looks stormy but warmer.  thanks so much for the information.,you're welcome. have a great day.
"where's the nearest place to get a hot cup of tea the nearest tea shop is palo alto cafe at Palo_Alto_Cafe_address. how's the traffic? there is currently Palo_Alto_Cafe_traffic_info en route. would you like directions? yes, please send the info on my screen, thank you!","you can follow the map on your screen now, you're welcome!"
find the nearest restaurant with chinese take-out,"these nearest restaurant is pf changs, located P.F._Changs_distance away with no traffic. would you like directions there?"
"on what date is my conference? what is it about, and who will be there? your conference is on conference_date at 11 am, it is to discuss the dress code with the infrastructure team thank you",you're welcome
will it be humid in exeter tomorrow?,the weather forecast in exeter tomorrow will be hot
"what's the temperature is there a particular city you would like to know the temperature for? yes, menlo parl, find out the temperature for menlo_park_friday, please.  the temperature in menlo park is predicted to have a low of 20f with a high of 30f on menlo_park_friday. thanks.",you're welcome
show me the route to coffee shop we are Teavana_distance away from teavana: would you like me to send you its address on screen? is it the quickest to get to from my current location? yes teavana is the only place close to you at Teavana_distance away located at 145 amherst st. do you want me to set the gps? set gps on route to avoid Teavana_traffic_info.,"i found some alternate road, follow your gps and let's hope to not get lost... just kidding!"
"take me home sure, can you please give me the address? it should be already saved among your poi, check better! home is 1 mile away at 5677_springer_street_address. thanks so much.",you're welcome!
